"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5175","Модальное окно закрывается кликом по крестику","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","91","Клик на ингредиент открывает модальное окно","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","87","Клик на ингредиент открывает модальное окно","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","93","Клик на ингредиент открывает модальное окно","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","91","Клик на ингредиент открывает модальное окно","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","1083","Переход по клику на «Лента заказов»","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","105","Клик на ингредиент открывает модальное окно","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","5182","Модальное окно закрывается кликом по крестику","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","6431","После создания нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-03-08","passed","2026-03-08","TestOrderFeed","test_order_feed","",""
"","112","Переход по клику на «Конструктор»","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","92","Клик на ингредиент открывает модальное окно","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","39","При добавлении ингредиента счётчик увеличивается","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","6324","После создания нового заказа его номер появляется в разделе «В работе»","tests","2026-03-08","passed","2026-03-08","TestOrderFeed","test_order_feed","",""
"","82","Клик на ингредиент открывает модальное окно","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","6397","После создания нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-03-08","passed","2026-03-08","TestOrderFeed","test_order_feed","",""
"","26","При добавлении ингредиента счётчик увеличивается","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","89","Клик на ингредиент открывает модальное окно","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","6437","После создания нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-03-08","passed","2026-03-08","TestOrderFeed","test_order_feed","",""
"","165","Переход по клику на «Конструктор»","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","27","При добавлении ингредиента счётчик увеличивается","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","38","При добавлении ингредиента счётчик увеличивается","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","1090","Переход по клику на «Лента заказов»","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","6408","После создания нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-03-08","passed","2026-03-08","TestOrderFeed","test_order_feed","",""
"","38","При добавлении ингредиента счётчик увеличивается","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
"","6860","После создания нового заказа его номер появляется в разделе «В работе»","tests","2026-03-08","passed","2026-03-08","TestOrderFeed","test_order_feed","",""
"","26","При добавлении ингредиента счётчик увеличивается","tests","2026-03-08","passed","2026-03-08","TestConstructor","test_constructor","",""
